"ARTICLE_DOI","AUTHOR_PRODUCTIVITY"
"10.3389/fphys.2017.00497",138
"10.1007/s00427-016-0541-8",34
"10.1002/hbm.23723",22
"10.1186/s12864-016-3314-x",24
"10.1186/s12918-017-0488-z",7
"10.3389/fnins.2017.00479",63
"10.1098/rsif.2017.0620",36
"10.1038/s41467-017-01909-2",15
"10.1101/gr.216465.116",12
"10.1371/journal.pcbi.1005435",42
"10.1007/s00239-017-9781-0",26
"10.1128/mbio.01276-17",26
"10.1038/ncomms15554",10
"10.1002/jemt.22642",7
"10.1242/bio.024869",30
"10.1093/bib/bbw011",34
"10.1016/j.jmp.2016.10.001",50
"10.1016/j.ygeno.2016.12.002",8
"10.1093/bioinformatics/btx122",12
"10.1128/jvi.01884-16",10
"10.3389/fgene.2017.00175",26
"10.1016/j.oraloncology.2017.07.002",16
"10.1038/s41598-017-10586-6",29
"10.7554/elife.21666",9
"10.1007/s11240-016-1063-9",3
"10.1038/s41467-017-00400-2",9
"10.1523/jneurosci.2715-16.2017",33
"10.1093/bioinformatics/btw590",23
"10.1038/s41598-017-06116-z",122
"10.1002/pro.2483",7
"10.1016/j.cub.2017.10.052",5
"10.1016/j.gde.2016.09.007",10
"10.1186/s13072-017-0163-z",7
"10.1242/dev.149427",30
"10.1111/1462-2920.13248",27
"10.1093/jee/tov297",14
"10.1007/s00709-017-1196-7",18
"10.1002/ajmg.a.38559",30
"10.1093/biostatistics/kxx028",27
"10.1088/1741-2552/aa8b27",34
"10.1371/journal.pone.0171951",50
"10.1038/s41598-017-09546-x",23
"10.1016/j.neuroimage.2017.07.057",14
"10.1038/s41598-017-16377-3",16
"10.1371/journal.pgen.1006868",14
"10.1101/gr.209247.116",15
"10.3389/fnhum.2016.00023",18
"10.1016/j.physa.2017.10.026",51
"10.7554/elife.25232",10
"10.1093/bioinformatics/btx649",54
"10.7554/elife.32032",15
"10.1111/psyp.13008",20
"10.1016/j.epidem.2017.01.005",11
"10.1016/j.bpj.2017.08.013",11
"10.1016/j.cell.2017.07.045",4
"10.1002/1878-0261.12083",52
"10.1093/cercor/bhx308",219
"10.1039/c7ib00086c",12
"10.1111/oik.04507",44
"10.1016/j.tpb.2017.08.004",9
"10.1098/rstb.2016.0247",82
"10.1080/15384101.2016.1261765",2
"10.1242/jcs.197210",8
"10.1094/mpmi-07-17-0156-r",30
"10.1074/jbc.ra117.000555",4
