"PREPRINT_DOI","ARTICLE_DOI","HAS_ALTMETRIC","ALT_SCORE","ALT_TWEETS","ALT_FEEDS","ALT_MSM","ALT_POLICIES","ALT_WIKIPEDIA","ALT_MENDELEY"
"10.1101/029207","10.1371/journal.pgen.1005751",TRUE,33.23,28,2,1,0,0,63
"10.1101/011809","10.1038/ng.3464",TRUE,52.45,100,0,0,0,0,432
"10.1101/087403","10.7554/elife.18566",TRUE,7.35,15,0,0,0,0,121
"10.1101/081109","10.1038/srep41570",TRUE,1,1,0,0,0,0,14
"10.1101/069716","10.1016/j.ygcen.2017.01.019",FALSE,0,0,0,0,0,0,0
"10.1101/007807","10.7554/elife.05896",TRUE,39.022,3,2,3,0,0,91
"10.1101/032201","10.1038/ncomms13582",TRUE,10.5,4,0,1,0,0,28
"10.1101/179093","10.1371/journal.pbio.2004050",TRUE,23.55,42,0,0,0,0,150
"10.1101/004887","10.1080/17513758.2014.962631",FALSE,0,0,0,0,0,0,0
"10.1101/042408","10.3934/mbe.2016038",FALSE,0,0,0,0,0,0,0
"10.1101/043091","10.1371/journal.pgen.1006063",TRUE,30.3,56,0,0,0,0,41
"10.1101/116301","10.1186/s12711-017-0361-y",TRUE,2.85,5,0,0,0,0,43
"10.1101/161596","10.1242/jeb.166371",TRUE,65.95,42,0,5,0,0,22
"10.1101/056515","10.1371/journal.pone.0189067",TRUE,2.1,5,0,0,0,0,16
"10.1101/165456","10.1038/s41598-017-16638-1",TRUE,2.5,6,0,0,0,0,33
"10.1101/165373","10.1007/s00401-017-1789-4",TRUE,20.35,8,0,2,0,0,50
"10.1101/174375","10.1038/s41598-017-13901-3",TRUE,7.05,14,0,0,0,0,25
"10.1101/135756","10.1038/s41598-017-13916-w",TRUE,1,4,0,0,0,0,16
"10.1101/164657","10.1016/j.str.2017.10.004",TRUE,2.25,5,0,0,0,0,26
"10.1101/135301","10.1186/s13148-017-0414-7",TRUE,1.5,4,0,0,0,0,36
"10.1101/128371","10.1104/pp.17.01086",TRUE,19.48,23,1,0,0,0,65
"10.1101/083857","10.1371/journal.pcbi.1005768",TRUE,37.8,66,0,0,0,0,277
"10.1101/120857","10.7554/elife.26653",TRUE,41.5,84,0,0,0,0,75
"10.1101/142778","10.1115/1.4037937",TRUE,4.6,8,0,0,0,0,30
"10.1101/021600","10.1093/molbev/msv236",TRUE,39.1,13,0,4,0,0,70
"10.1101/060053","10.1007/s00792-017-0956-9",TRUE,4.35,8,0,0,0,0,16
"10.1101/048033","10.1111/evo.12999",TRUE,5.2,12,0,0,0,0,24
"10.1101/090084","10.1093/molbev/msx154",TRUE,51.83,77,1,1,0,0,128
"10.1101/098814","10.1242/dev.148940",TRUE,13.25,22,0,0,0,0,32
